,distance,angle,time
170,2.25,120.0,2.4000000000000004
171,2.0,120.0,1.4500000000000002
172,2.0,115.0,1.4500000000000002
173,2.25,145.0,1.9000000000000001
174,2.0,125.0,1.4500000000000002
175,2.25,145.0,2.15
176,2.25,145.0,2.0
177,2.75,150.0,2.9000000000000004
178,2.0,125.0,1.55
179,2.25,130.0,2.1
180,2.0,130.0,1.6500000000000001
181,1.75,145.0,1.4500000000000002
182,2.25,120.0,1.6
183,2.25,125.0,2.0500000000000003
184,2.0,95.0,1.4500000000000002
185,2.25,130.0,1.5
186,2.25,135.0,1.8
187,2.0,135.0,1.6
188,2.25,60.0,1.3
189,2.25,120.0,2.1
190,2.0,125.0,1.5
191,2.25,145.0,1.75
